seq,durasi_ms,panjang,valid,kanal_aktif,data
154,770.83,125,1,6,10000000000000001000000000000000000000000000000000000000010000001001000000000000100000000000000000000000000000000000000000000
155,770.82,125,1,10,00000000000000000000000000000000000000000000000000001111111000000000001010000000001000000000000000000000000000000000000000000
156,770.84,125,1,8,00100000000110000000000000000000000000000000000000000110000110010000000000000000000000000000000000000000000000000000000000000
157,770.83,125,1,5,00000000000000000010000000000000000000000000000000001100000000000010010000000000000000000000000000000000000000000000000000000
158,770.83,125,1,5,00000001000000000000000000000000000000000000000000000001100100000100000000000000000000000000000000000000000000000000000000000
159,770.82,125,1,4,00000000000001000000000000000000000000000000000000000000000001100100000000000000000000000000000000000000000000000000000000000
160,770.84,125,1,10,00000000000000000000000000000100000000000000000000001011000000100000111100000000001000000000000000000000000000000000000000000
161,770.83,125,1,10,00000000010000000000000000000000000000000000000000000000010011000000111110000000001000000000000000000000000000000000000000000
162,770.83,125,1,11,10000000000000010100000000000000000000000000000000000000000000011001111110000000000000000000000000000000000000000000000000000
163,770.82,125,1,5,00000000000000000000000000000000000000000000000000000100100000000010011000000000000000000000000000000000000000000000000000000
164,770.84,125,1,4,00000000000100000000000000000000000000000000000000000000000100110000000000000000000000000000000000000000000000000000000000000
165,770.83,125,1,5,00000000000000000100000000100000000000000000000000000000000000000100110000000000000000000000000000000000000000000000000000000
166,770.83,125,1,5,00000011000000000000000000000000000000000000000000000001001000000000000100000000000000000000000000000000000000000000000000000
167,770.82,125,1,7,00000000000001000000000000000000000000000000000000000000000001101100100000000000000100000000000000000000000000000000000000000
168,770.84,125,1,6,10100000000000000000000000000000000000000000000000000010000000000001001100000000000000000000000000000000000000000000000000000
169,770.83,125,1,5,00000000110000000000000000000000000000000000000000000000110010000000000000000000000000000000000000000000000000000000000000000
170,770.83,125,1,5,00000000000000110000000000100000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000
171,770.82,125,1,5,00000000000000000000000101000000000000000000000000000100100000000000010000000000000000000000000000000000000000000000000000000
172,770.84,125,1,5,00000000001000000000000000000000000000000000000000000000001100100000010000000000000000000000000000000000000000000000000000000
173,770.83,125,1,18,00000000000000001100000000000000000000000000000000001011111111110101101000000000001000000000000000000000000000000000000000000
174,770.83,125,1,7,00000010000000000000000000000000000000000000000000001010011001000000000100000000000000000000000000000000000000000000000000000
175,770.82,125,1,5,00000000000010000000000000000000000000000000000000000000001011001000000000000000000000000000000000000000000000000000000000000
176,770.84,125,1,4,00000000000000000000000000000000000000000000000000000100000000000011001000000000000000000000000000000000000000000000000000000
177,770.83,125,1,7,00000000100000000000000000000000000000000000000000000000111110001000000000000000000000000000000000000000000000000000000000000
178,770.83,125,1,6,00000000000000100000000000100000000000000000000000000000000001100110000000000000000000000000000000000000000000000000000000000
179,770.82,125,1,6,00000000000000000000000000000000000000000000000000000001000100000000110000000001001000000000000000000000000000000000000000000
180,770.84,125,1,3,00000000001000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000
181,770.83,125,1,6,01000000000000001000000000000000000000000000000000000100000000001001100000000000000000000000000000000000000000000000000000000
182,770.83,125,1,6,00000010000000000000000000000000000000000000000000000011011000000000001000000000000000000000000000000000000000000000000000000
183,770.82,125,1,10,00000000000110000000000000000000000000000000000000000111100010011001000000000000000000000000000000000000000000000000000000000
184,770.84,125,1,4,00000000000000000000000001000000000000000000000000000100000000000010010000000000000000000000000000000000000000000000000000000
185,770.83,125,1,6,00000001000000000000000000000000000000000000000000000001101100000000000010000000000000000000000000000000000000000000000000000
186,770.83,125,1,25,00100000000001100000000000000000000000000000000000011111111111111111111100000000010000000000000000000000000000000000000000000
187,770.82,125,1,6,11000000000000000000000000000000000000000000000000000011000000000000100100000000000000000000000000000000000000000000000000000
188,770.84,125,1,4,00000000010000000000000000000000000000000000000000000000011001000000000000000000000000000000000000000000000000000000000000000
189,770.83,125,1,4,00000000000000010000000000000000000000000000000000000000000000011001000000000000000000000000000000000000000000000000000000000
190,770.83,125,1,4,00000000000000000000000000000000000000000000000000000100110000000000001000000000000000000000000000000000000000000000000000000
191,770.82,125,1,5,00000000000100000000000000001000000000000000000000000000000100110000000000000000000000000000000000000000000000000000000000000
192,770.84,125,1,6,00100000000000000100000000000000000000000000000000000000000000000110010000000000010000000000000000000000000000000000000000000
193,770.83,125,1,8,10000001000000000110000000000000000000000000000000000101001000000000000100000000000000000000000000000000000000000000000000000
194,770.83,125,1,8,00000000000001000000000000000000000000000000000000000100000001101101010000000000000000000000000000000000000000000000000000000
195,770.82,125,1,10,00000011100000000000000000000000000000000000000000000111000000000001101100000000000000000000000000000000000000000000000000000
196,770.84,125,1,7,00000000110000000000000010000000000000000000000000000000010010000001000100000000000000000000000000000000000000000000000000000
197,770.83,125,1,7,00000000000000010000000000000000000000000000000000000100000001010010010000000000001000000000000000000000000000000000000000000
198,770.83,125,1,18,01100000000000000000000000000000000000000000000000000101110000111111111110000000000100000000000000000000000000000000000000000
199,770.82,125,1,7,01000000001100000000000000000000000000000000000000000000000100100011000000000000000000000000000000000000000000000000000000000
200,770.84,125,1,6,00000000000000001100000000100000000000000000000000000010000000000100100000000000000000000000000000000000000000000000000000000
